A Day To Remember,4NiJW4q9ichVqL1aUsgGAN, post-hardcore 
A Skylit Drive,2HSp2S2KwxKE7sASl6bMR9, post-hardcore 
A Static Lullaby,0nrcqEG1EEnOwpAfIv0UIb, post-hardcore 
Adept,1TsgX8DlUvpk9mrUqxmOZu, post-hardcore 
Mikeyla Featuring The Metal Forces,73MfR7vFWlRPfApLZI7KPV, post-hardcore 
Abandon All Ships,3GsRbtyKPsORUduU4xAaQS, post-hardcore 
Aiden,1FNjzdmDeHeZjU5qUJlQ1G, post-hardcore 
...And You Will Know Us by the Trail of Dead,6wBUn8gMP85n8dPu6LoUcF, post-hardcore 
Alesana,1fnDlUNi67FQtHHqBl4Yfg, post-hardcore 
Alexisonfire,53RsXctnNmj9oKXvcbvzI2, post-hardcore 
American Standards,6umD0mkxpmhNFEn5AgPAhp, post-hardcore 
The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK, post-hardcore 
At The Drive-In,5E2rtn57BM2WPjwak4kGd5, post-hardcore 
Atreyu,3LkSiHbjqOHCKCqBfEZOTv, post-hardcore 
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq, post-hardcore 
Massive Attack,6FXMGgJwohJLUSr5nVlf9X, post-hardcore 
The Guardians,1BQ4qhmBKCLXppZm7LXtYo, post-hardcore 
Arma Angelus,2ELtKE5GBGlBWXegPcJyZl, post-hardcore 
Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs, post-hardcore 
Bastro,4GzZm122Ty6qXdg36mCnW5, post-hardcore 
Before Their Eyes,7BewtLSaxtzJjRzPUPnSxp, post-hardcore 
Big Black Delta,2TXpVEw5FbzDh93tLoDm0i, post-hardcore 
Billy Talent,08yf5A2nS4XEeNvabDXqyg, post-hardcore 
Bitch Magnet,7skjJzEym3TvOGR4pqtqkP, post-hardcore 
Black Eyes,2e15fjOtGIotsBNAXR3vSl, post-hardcore 
Black Veil Brides,6O7MpKrY91vlCd4Osi6XKs, post-hardcore 
The Bled,0EvGuw8fuWFtxhAsBOFTin, post-hardcore 
blessthefall,7t2C8WwLyKUKRe0LVh8zl9, post-hardcore 
Blindside,0Uj2hge2fxypJ7f4ik6lpr, post-hardcore 
The Blood Brothers,2nNyMDW51EHYbBXu3lFbLR, post-hardcore 
Spin Doctors,2PSiyldxmJze7xiqbz658m, post-hardcore 
Bluetip,1GrZU2efRLsDsGv8jm1cl9, post-hardcore 
Rhapsody,1w7TzlLDTjjFx5MFILkVr3, post-hardcore 
Brand New,168dgYui7ExaU612eooDF1, post-hardcore 
Metroland,2jkEEDisTNyfxfkLbez8N0, post-hardcore 
Books On Tape / Chaki / Kerri Kerrang,1ORDaSNf57Iqy9SPdFmouJ, post-hardcore 
Breach,2MMkuQE0f6CDaamJdWXaCC, post-hardcore 
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF, post-hardcore 
Burning Airlines,4zYpizxJGv5E1E2dEYoolu, post-hardcore 
The Crawdaddy,2b4jHN04BlvDpWYZxQoCDD, post-hardcore 
Bury Tomorrow,6BD4lgmnh4vy6kkCaZRDWt, post-hardcore 
Cap'n Jazz,3JhEcBWSCPXkRMt1VK14i4, post-hardcore 
Cave In,5m2NwwPj4pzGQC0PQwMBWi, post-hardcore 
Club Av,0Xk4xgvr6ze5StegKWW5iG, post-hardcore 
Marcia Chavez,5UjpgVQ1oZfxbgkXHHUEJr, post-hardcore 
Chiodos,4ZIBrskTJWmkJUvM7uAu1o, post-hardcore 
"Chunk! No, Captain Chunk!",03jrbNTeSKP9m161juhm0h, post-hardcore 
City of Caterpillar,6zRqJkcK9YW5muISa2kwZR, post-hardcore 
The Classic Crime,4Y2ImQoh83EyhkbaJXmJr1, post-hardcore 
Cloud Nothings,6rnbB5fuUuCSsspvFsxIpT, post-hardcore 
Clutch,161AC1AVRkIGIMxyj5djFQ, post-hardcore 
coldrain,4pCVGaLWxDe4d8bsjsnmUM, post-hardcore 
Crown The Empire,2vKiJjsgjgqIECUyYeIVvO, post-hardcore 
The Crownhate Ruin,7v1L5fSZ2lmjV0RfokgRLs, post-hardcore 
Cursive,1sylmUjlKYsLA49YtkNHW3, post-hardcore 
Tony Spinner,6JhsZANOSVD2dnJt1ZHr3z, post-hardcore 
Yung AOL,5SeE35VSqbsfb85cjFHAA7, post-hardcore 
Dance Gavin Dance,6guC9FqvlVboSKTI77NG2k, post-hardcore 
Dance Club Massacre,7iwaPJGwi62E9KJr92FYZh, post-hardcore 
Dead Poetic,14NIQxiBiZtbmZMXUwS6KD, post-hardcore 
Decyfer Down,4C0vbj4LNsNUjH0Q9IFW3B, post-hardcore 
MTV RiFF RAFF,1Fra8JKw7zFJbiuUBueaUK, post-hardcore 
Dizmas,3jGhBYBVXWgphy7OEHxqwx, post-hardcore 
Drive Like Jehu,7FbdCzKUwoZs1v9bCl43Ev, post-hardcore 
"Drop Dead, Gorgeous",7ib9jRPvGJ6VPCTg35G2L9, post-hardcore 
Edison Glass,0RNUFiiD25X0wWml4K44ni, post-hardcore 
The Effigies,17gqhz2M1O1fSw1Uwmeqtv, post-hardcore 
Egg Hunt,1bas1fsGdd0QxvKvUuhOAu, post-hardcore 
Emarosa,68tKVjVvcqUfKFFLr2j0Ek, post-hardcore 
Embrace,74K7bX12L8GBAWvPuyIgJ7, post-hardcore 
Gareth Emery,0hprEC0nsWuQPSHag1O2Vi, post-hardcore 
Enter Shikari,31jvzuB4ikftPQZJwrYfCF, post-hardcore 
Escape the Fate,5ojhEavq6altxW8fWIlLum, post-hardcore 
Family Force 5,6aUV3Fndwagje8d4rBA3xw, post-hardcore 
The Fall of Troy,5fuQrhMRYMtoO9uOlFad4P, post-hardcore 
Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz, post-hardcore 
Famous Last Words,3rxPTMtxVQKNAbBBl6cQrw, post-hardcore 
Faraquet,5OBJZtgvHxSJZYyQ8T9AoS, post-hardcore 
Fightstar,3CI0BdDDxe6D21RmqTB5fn, post-hardcore 
Flyleaf,4IliztYDlfMvzQzbx50o60, post-hardcore 
Frodus,3d4K7FgjLZO8JfPjPy5fMs, post-hardcore 
Flee The Seen,2LxdUCd3lVjL8lpTjEIuT0, post-hardcore 
From First To Last,5n71fmAB8Un2IfAPn64erN, post-hardcore 
Fugazi,62sC6lUEWRjbFqXpMmOk4G, post-hardcore 
The AV Club,5cgiMtdjtrkzm6rzuuULmY, post-hardcore 
The Red Onion Jazz Band,1QNkAdZqZozxGNvqneRnI9, post-hardcore 
Gallows,0LpwbxbT8dPiqUnul4ngzu, post-hardcore 
Get Scared,5r9uIJCoquVtEkCkvcn8Ez, post-hardcore 
Girls Against Boys,33HLOae9rhJfw6Mh0e8g5r, post-hardcore 
Glassjaw,7nt6S4klYHg4I7Q4lTSmc0, post-hardcore 
Hawthorne Heights,126FigDBtqwS2YsOYMTPQe, post-hardcore 
Hopesfall,1FEgAMsvc3DM2OtT4dPn9i, post-hardcore 
I Am Empire,3r0Ji4GrKm8sltFwGVI3bK, post-hardcore 
Inhale Exhale,5DfSyvaESBfcTdAOQOJWfD, post-hardcore 
In Fear And Faith,19HgKsSbdKYlYmitK3Y8uP, post-hardcore 
Jawbox,0Fj0cWPHOpexJCZRdSHioP, post-hardcore 
The Jesus Lizard,6r26MaDr8bqNALjXgYPXMa, post-hardcore 
Jamie's Elsewhere,2mJ7eHB7MKBYzxt0TC2NZ0, post-hardcore 
Karp,7pYTwcQBMsFnnbgB5bGWjN, post-hardcore 
La Dispute,7lQKE6HaKQcCsgLRMhsh5W, post-hardcore 
letlive.,5ACBALsFxT5Ab3gVe8yyPs, post-hardcore 
BBC Music Division,3K8vfLO0X7uo4laHYIqBjd, post-hardcore 
Lowercase Noises,7trvyUUXmPhi1StCNYHj4e, post-hardcore 
Lungfish,2aeccL0hsJAfsP56dRdrBI, post-hardcore 
Mallory Knox,7bHTSvk96ULRLZPZr1SoCZ, post-hardcore 
Mclusky,3xA9AB0f4BVjsSlyQc12iE, post-hardcore 
The Menzingers,7HWFXU9pHBj0u58yoRwwOJ, post-hardcore 
mewithoutYou,3D4qYDvoPn5cQxtBm4oseo, post-hardcore 
Mohinder Kaur,38ovBuuVrFYT7wBpjmzukZ, post-hardcore 
Moss Icon,2mSqzpfJGBqSTIQa3uqDco, post-hardcore 
Vice,0q4NrXqJnc367PieejuROJ, post-hardcore 
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb, post-hardcore 
Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf, post-hardcore 
Naked Raygun,2KWOkrj19TKU1ik6tugH4y, post-hardcore 
The Nation Of Ulysses,56iYQDSjFuXw4vTxIsWXqd, post-hardcore 
Nomeansno,4wDDRTuUAWHiYtrvYsU0kp, post-hardcore 
Of Mice & Men,4tususHNaR68xdgLstlGBA, post-hardcore 
ONE OK ROCK,7k73EtZwoPs516ZxE72KsO, post-hardcore 
Orchid,0ruvhGLVp5XtTLHeDRBSBH, post-hardcore 
Our Last Night,00YTqRClk82aMchQQpYMd5, post-hardcore 
PG.99,5EYJZgzIDdD5L1wRFlZ2ub, post-hardcore 
Pierce The Veil,4iJLPqClelZOBCBifm8Fzv, post-hardcore 
The Plot to Blow Up the Eiffel Tower,02R8Zn8unA3kV7zvyVQnox, post-hardcore 
Q And Not U,0E8Xl0rqwhKVaLB5sjErWr, post-hardcore 
